ID,base_points,prev_game_1,prev_game_2,next_game,team_1,team_2,winner
A11,2,,,A21,W01,W16,
A12,2,,,A21,W08,W09,
A13,2,,,A22,W05,W12,
A14,2,,,A22,W04,W13,
A15,2,,,A23,W06,W11,
A16,2,,,A23,W03,W14,
A17,2,,,A24,W07,W10,
A18,2,,,A24,W02,W15,
A21,3,A11,A12,A31,,,
A22,3,A13,A14,A31,,,
A23,3,A15,A16,A32,,,
A24,3,A17,A18,A32,,,
A31,5,A21,A22,A41,,,
A32,5,A23,A24,A41,,,
A41,8,A31,A32,E51,,,
B11,2,,,B21,X01,X16,
B12,2,,,B21,X08,X09,
B13,2,,,B22,X05,X12,
B14,2,,,B22,X04,X13,
B15,2,,,B23,X06,X11,
B16,2,,,B23,X03,X14,
B17,2,,,B24,X07,X10,
B18,2,,,B24,X02,X15,
B21,3,B11,B12,B31,,,
B22,3,B13,B14,B31,,,
B23,3,B15,B16,B32,,,
B24,3,B17,B18,B32,,,
B31,5,B21,B22,B41,,,
B32,5,B23,B24,B41,,,
B41,8,B31,B32,E51,,,
C11,2,,,C21,Y01,Y16,
C12,2,,,C21,Y08,Y09,
C13,2,,,C22,Y05,Y12,
C14,2,,,C22,Y04,Y13,
C15,2,,,C23,Y06,Y11,
C16,2,,,C23,Y03,Y14,
C17,2,,,C24,Y07,Y10,
C18,2,,,C24,Y02,Y15,
C21,3,C11,C12,C31,,,
C22,3,C13,C14,C31,,,
C23,3,C15,C16,C32,,,
C24,3,C17,C18,C32,,,
C31,5,C21,C22,C41,,,
C32,5,C23,C24,C41,,,
C41,8,C31,C32,E52,,,
D11,2,,,D21,Z01,Z16,
D12,2,,,D21,Z08,Z09,
D13,2,,,D22,Z05,Z12,
D14,2,,,D22,Z04,Z13,
D15,2,,,D23,Z06,Z11,
D16,2,,,D23,Z03,Z14,
D17,2,,,D24,Z07,Z10,
D18,2,,,D24,Z02,Z15,
D21,3,D11,D12,D31,,,
D22,3,D13,D14,D31,,,
D23,3,D15,D16,D32,,,
D24,3,D17,D18,D32,,,
D31,5,D21,D22,D41,,,
D32,5,D23,D24,D41,,,
D41,8,D31,D32,E52,,,
E51,13,A41,B41,E69,,,
E52,13,C41,D41,E69,,,
E69,21,E51,E52,,,,